Filesystem Type,Magic Number (Hex),Common Use Case
EXT4 / EXT3 / EXT2,0xEF53,Standard Linux fixed disk partitions.
NFS,0x6969,Network File System (Remote/Network drive).
SMB / CIFS,0xFF534D42,Windows-style network shares.
MSDOS / FAT,0x4D44,USB sticks and older SD cards (Removable).
NTFS,0x5346414F,Windows partitions (often external HDDs).
BTRFS,0x9123683E,"Modern Linux ""Copy-on-Write"" drives."
XFS,0x58465342,High-performance enterprise storage.
TMPFS,0x01021994,RAM disks (volatile storage).
PROC,0x9FA0,The /proc virtual filesystem (System info).
SYSFS,0x62656572,The /sys virtual filesystem (Device info).
ISOFS,0x9660,CD-ROMs and DVD-ROMs.
HUGETLBFS,0x958458F6,Large page memory allocation.
